OBJECTID,date_bldg_,bldg_condi,date_bld_2,bldg_id,bldg_sq_fo,bldg_statu,date_condi,time_condi,f_add1,harris_str,label_hous,no_of_unit,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,st_name1,st_type1,stories,suf_dir1,t_add1,x_coord,y_coord,year_built,Name
23,2006-06-29 0:00:00,SOUND,2006-06-29 0:00:00,833598,0,ACTIVE,2006-06-29 0:00:00,07:00:00.000,3519, ,3519,0,833598,W,2006-06-29 0:00:00,07:00:00.000, ,DT00255,POLK,ST,0, ,3519,1152893.543,1896080.339,2004,244
24,1998-04-01 0:00:00, ,1998-04-01 0:00:00,406541,0,ACTIVE,,,0, ,0,0,406541, ,,, , , , ,0, ,0,1147717.11,1884575.933,0,49
25,1998-04-01 0:00:00, ,1998-04-01 0:00:00,368685,0,ACTIVE,,,0, ,0,0,368685, ,,, , , , ,0, ,0,1161042.614,1896174.331,0,260/275
27,1998-04-01 0:00:00,UNINHABITABLE,1998-04-01 0:00:00,373514,800,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1315,01720108022000,1315,1,373514,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ASHLAND,AVE,2, ,1315,1166013.481,1893950.646,1909,55
28,1998-04-01 0:00:00, ,1998-04-01 0:00:00,301451,0,ACTIVE,,,0, ,0,0,301451, ,,, , , , ,0, ,0,1139605.613,1911115.776,0,16
31,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,331454,3633,ACTIVE,2001-10-01 0:00:00,07:00:00.000,3236,01602414017000,3236,4,331454,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,AUGUSTA,BLVD,3, ,3236,1154434.603,1906549.301,1917,281
32,2007-11-28 0:00:00,SOUND,2007-11-28 0:00:00,869119,0,ACTIVE,2005-02-27 0:00:00,08:00:00.000,913,01718316024000,913,2,869118,S,2007-11-28 0:00:00,08:00:00.000, ,DT00255,OAKLEY,BLVD,2, ,913,1161271.343,1895837.739,1884,260/275
34,1998-04-01 0:00:00, ,1998-04-01 0:00:00,404613,0,ACTIVE,,,0, ,0,0,404613, ,,, , , , ,0, ,0,1147666.896,1884901.585,0,49
36,1998-04-01 0:00:00, ,1998-04-01 0:00:00,345851,0,ACTIVE,,,0, ,0,0,345851, ,,, , , , ,0, ,0,1137715.081,1904224.338,0,268
39,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,299391,2280,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1754,01333312022000,1754,2,299391,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,LINDER,AVE,2, ,1754,1139368.919,1911347.961,1927,16
40,1998-04-01 0:00:00, ,1998-04-01 0:00:00,399159,0,ACTIVE,,,0, ,0,0,399159, ,,, , , , ,0, ,0,1154610.005,1886052.399,0,157
41,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,406297,2116,ACTIVE,2001-12-01 0:00:00,08:00:00.000,2837,01627416015000,2837,3,406297,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,KOSTNER,AVE,2, ,2837,1147594.335,1884613.085,1909,49
42,1998-04-01 0:00:00, ,1998-04-01 0:00:00,317543,0,ACTIVE,,,0, ,0,0,317543, ,,, , , , ,0, ,0,1152513.614,1908899.338,0,306
43,1998-04-01 0:00:00, ,1998-04-01 0:00:00,302885,0,ACTIVE,,,0, ,0,0,302885, ,,, , , , ,0, ,0,1162957.723,1910970.838,0,324
45,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,368448,2892,ACTIVE,2001-10-01 0:00:00,07:00:00.000,808,01718316038000,808,4,368448,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,BELL,AVE,3, ,808,1161453.137,1896256.588,0,260/275
46,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,369866,2024,ACTIVE,2001-10-01 0:00:00,07:00:00.000,918,01718316058000,918,2,369866,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,BELL,AVE,2, ,922,1161453.153,1895783.284,1889,260/275
47,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,343080,1960,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1423,01708113006000,1423,3,343080,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HURON,ST,2, ,1423,1166659.016,1904722.06,1869,292
48,1998-04-01 0:00:00,NEEDS MAJOR REPAIR,1998-04-01 0:00:00,298545,117200,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1754,01332400018000,1754,0,298545,N,,, , ,CENTRAL,AVE,4, ,1754,1138378.606,1911393.054,1950,16
49,1998-04-01 0:00:00, ,1998-04-01 0:00:00,300398,0,ACTIVE,,,0, ,0,0,300398, ,,, , , , ,0, ,0,1139601.088,1911236.557,0,16
50,2007-08-20 0:00:00,SOUND,2007-08-20 0:00:00,860475,0,ACTIVE,2007-08-20 0:00:00,07:00:00.000,0, , ,0,860475, ,2007-08-20 0:00:00,07:00:00.000, ,DS06182, , ,0, ,0,1137418.843,1903566.639,2006,268
51,2007-08-20 0:00:00,SOUND,2007-08-20 0:00:00,860486,0,ACTIVE,2007-08-20 0:00:00,07:00:00.000,0, , ,0,860486, ,2007-08-20 0:00:00,07:00:00.000, ,DS06182, , ,0, ,0,1137769.243,1903862.239,2006,268
52,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,368914,3446,ACTIVE,2001-10-01 0:00:00,07:00:00.000,826,01718316045000,826,2,368914,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,BELL,AVE,2, ,826,1161448.042,1896086.804,1990,260/275
53,1998-04-01 0:00:00,NEEDS MAJOR REPAIR,1998-04-01 0:00:00,362079,0,ACTIVE,2001-12-01 0:00:00,08:00:00.000,238,01616211053000,238,0,362079,S,,, , ,CICERO,AVE,2, ,246,1144327.948,1898470.421,0,57
54,1998-04-01 0:00:00, ,1998-04-01 0:00:00,399243,0,ACTIVE,,,0, ,0,0,399243, ,,, , , , ,0, ,0,1155251.828,1886032.557,0,157
55,1998-04-01 0:00:00, ,1998-04-01 0:00:00,362407,0,ACTIVE,,,248, ,248,0,362407,S,,, , ,CICERO,AVE,0, ,248,1144336.909,1898354.183,0,57
56,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,301295,2146,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1734,01333311029000,1734,2,301295,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,LUNA,AVE,2, ,1734,1139036.263,1911129.804,1926,16
57,1998-04-01 0:00:00, ,1998-04-01 0:00:00,369575,0,ACTIVE,,,0, ,0,0,369575, ,,, , , , ,0, ,0,1161382.867,1895902.399,0,260/275
60,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,318961,2712,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1318,01602221032000,1318,2,318961,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HOMAN,AVE,2, ,1318,1153379.93,1908664.77,1913,306
61,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,405035,1672,ACTIVE,2001-12-01 0:00:00,08:00:00.000,2815,01627416007000,2815,2,405035,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,KOSTNER,AVE,2, ,2815,1147591.613,1884827.68,1909,49
63,1998-04-01 0:00:00, ,1998-04-01 0:00:00,348853,0,ACTIVE,,,0, ,0,0,348853, ,,, , , , ,0, ,0,1138058.364,1903581.023,0,268
64,1998-04-01 0:00:00, ,1998-04-01 0:00:00,399181,0,ACTIVE,,,0, ,0,0,399181, ,,, , , , ,0, ,0,1154318.646,1886044.708,0,157
66,1998-04-01 0:00:00, ,1998-04-01 0:00:00,404147,0,ACTIVE,,,0, ,0,0,404147, ,,, , , , ,0, ,0,1147993.721,1884985.085,0,49
68,1998-04-01 0:00:00, ,1998-04-01 0:00:00,404293,0,ACTIVE,,,0, ,0,0,404293, ,,, , , , ,0, ,0,1147992.361,1884959.399,0,49
69,1998-04-01 0:00:00,NEEDS MAJOR REPAIR,1998-04-01 0:00:00,361619,4000,ACTIVE,2001-12-01 0:00:00,08:00:00.000,203,01615108001001,203,2,361619,S,,, , ,CICERO,AVE,2, ,215,1144498.171,1898567.402,1996,57
70,1998-04-01 0:00:00, ,1998-04-01 0:00:00,302595,0,ACTIVE,,,0, ,0,0,302595, ,,, , , , ,0, ,0,1139611.477,1910996.776,0,16
72,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,303945,2280,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1707,01333312018000,1707,2,303945,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,LUNA,AVE,2, ,1707,1139220.772,1910864.523,1927,16
75,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,373943,3600,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1334,01719215030000,1334,0,373943,S,2005-01-20 0:00:00,08:00:00.000,ASSESS2002,DS01228,ASHLAND,AVE,1, ,1334,1165811.582,1893744.847,1970,55
76,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,370097,0,ACTIVE,2005-02-27 0:00:00,08:00:00.000,929,01718317028000,929,2,370097,S,,, , ,BELL,AVE,2, ,929,1161598.367,1895710.838,1889,260/275
77,1998-04-01 0:00:00, ,1998-04-01 0:00:00,345825,0,ACTIVE,,,0, ,0,0,345825, ,,, , , , ,0, ,0,1137798.864,1904226.304,0,268
79,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,346148,2184,ACTIVE,2001-12-01 0:00:00,08:00:00.000,5730,01608205020000,5730,1,346148,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HURON,ST,2, ,5730,1137864.775,1904147.149,1899,268
80,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,368373,1674,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3430,01614409077000,3430,1,368373,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,POLK,ST,3, ,3430,1153479.38,1896281.297,1995,244
81,1998-04-01 0:00:00, ,1998-04-01 0:00:00,408032,0,ACTIVE,,,0, ,0,0,408032, ,,, , , , ,0, ,0,1147395.614,1884217.338,0,49
82,1998-04-01 0:00:00, ,1998-04-01 0:00:00,813194,0,ACTIVE,,,1450, ,1450,0,813194,S,,, , ,HALSTED,ST,0, ,1458,1171200.428,1893007.168,0,153
83,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,368522,2052,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3522,01614408033000,3522,2,368522,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,POLK,ST,2, ,3522,1152911.083,1896221.217,1911,244
84,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,345849,1278,ACTIVE,2001-12-01 0:00:00,08:00:00.000,713,01608205014000,713,1,345849,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,MENARD,AVE,2, ,713,1137660.794,1904219.578,1899,268
85,1998-04-01 0:00:00, ,1998-04-01 0:00:00,404332,0,ACTIVE,,,0, ,0,0,404332, ,,, , , , ,0, ,0,1147703.868,1884953.276,0,49
87,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,297992,2248,ACTIVE,2003-03-01 0:00:00,08:00:00.000,5554,01333303006000,5554,2,297992,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,BLOOMINGDALE,AVE,2, ,5554,1138864.968,1911497.464,1927,16
88,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,399594,400,ACTIVE,2002-11-01 0:00:00,08:00:00.000,2658,01626407044000,2658,0,399594,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,KEDZIE,AVE,1, ,2658,1155409.336,1885947.606,1979,157
89,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,342389,2052,ACTIVE,2001-10-01 0:00:00,07:00:00.000,734,01611206025000,734,2,342389,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,SAWYER,AVE,2, ,734,1154503.273,1904874.338,1899,281
90,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,315613,0,ACTIVE,2001-10-01 0:00:00,07:00:00.000,3416,01602213043000,3416,1,315613,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HIRSCH,ST,2, ,3416,1153223.165,1909177.273,1904,306
91,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,302579,1520,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1630,01431424031000,1630,0,302579,N,2005-01-20 0:00:00,08:00:00.000,ASSESS2002,DS01228,WINCHESTER,AVE,1, ,1630,1163003.737,1910995.646,1953,324
92,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,347805,1200,ACTIVE,2001-12-01 0:00:00,08:00:00.000,5814,01608209023000,5814,1,347805,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ERIE,ST,2, ,5814,1137439.834,1903802.992,1892,268
94,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,369061,1708,ACTIVE,2002-11-01 0:00:00,08:00:00.000,805,01614413050000,805,1,369061,S,,, , ,ST LOUIS,AVE,3, ,805,1153255.407,1896045.791,1995,244
97,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,340851,3339,ACTIVE,2003-03-01 0:00:00,08:00:00.000,734,01708103026000,734,3,340851,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ADA,ST,3, ,734,1167139.58,1905195.899,1879,292
98,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,361402,4383,ACTIVE,2001-12-01 0:00:00,08:00:00.000,4824,01616208034000,4824,4,361402,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,QUINCY,ST,3, ,4824,1144142.538,1898648.205,1925,57
99,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,362883,920,ACTIVE,2001-12-01 0:00:00,08:00:00.000,4649,01615113003000,4649,1,362883,W,,, , ,JACKSON,BLVD,2, ,4649,1145249.883,1898208.745,1889,57
100,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,304816,1700,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1856,01431426019000,1856,2,304816,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,NORTH,AVE,3, ,1856,1163480.636,1910749.075,1892,324
101,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,397551,1800,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3245,01626406007000,3245,1,397551,W,2005-01-20 0:00:00,08:00:00.000,ASSESS2002,DS01228,26TH,ST,2, ,3245,1154973.453,1886472.865,1901,157
102,1998-04-01 0:00:00, ,1998-04-01 0:00:00,398076,0,ACTIVE,,,0, ,0,0,398076, ,,, , , , ,0, ,0,1155259.749,1886307.372,0,157
103,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,302665,2197,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1718,01333312034000,1718,2,302665,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,LINDER,AVE,2, ,1718,1139376.164,1910987.961,1927,16
104,1998-04-01 0:00:00, ,1998-04-01 0:00:00,317510,0,ACTIVE,,,0, ,0,0,317510, ,,, , , , ,0, ,0,1152738.296,1908904.618,0,306
105,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,367955,3660,ACTIVE,2001-10-01 0:00:00,07:00:00.000,2300,01718305052000,2300,2,367955,W,,, , ,POLK,ST,2, ,2300,1161100.41,1896428.618,1990,260/275
107,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,303554,3384,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1621,01431425016000,1621,4,303554,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,WINCHESTER,AVE,3, ,1621,1163168.258,1910904.304,1899,324
108,1998-04-01 0:00:00, ,1998-04-01 0:00:00,298637,0,ACTIVE,,,1702, ,1702,0,298637,N,,, , ,WOLCOTT,AVE,0, ,1702,1163375.772,1911412.48,0,324
109,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,303595,2146,ACTIVE,2003-03-01 0:00:00,08:00:00.000,1711,01333313017000,1711,2,303595,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,LINDER,AVE,2, ,1711,1139553.508,1910902.18,1927,16
110,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,364401,2729,ACTIVE,2001-10-01 0:00:00,07:00:00.000,500,01718128053000,500,4,364401,S,,, , ,OAKLEY,BLVD,3, ,500,1161058.862,1897663.214,1996,128
111,1998-04-01 0:00:00, ,1998-04-01 0:00:00,299658,0,ACTIVE,,,0, ,0,0,299658, ,,, , , , ,0, ,0,1139308.728,1911317.023,0,16
114,1998-04-01 0:00:00, ,1998-04-01 0:00:00,368256,0,ACTIVE,,,0, ,0,0,368256, ,,, , , , ,0, ,0,1154281.896,1896321.057,0,244
115,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,408937,748,ACTIVE,2001-12-01 0:00:00,08:00:00.000,3026,01627312026000,3026,2,408937,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,KOSTNER,AVE,2, ,3026,1147476.498,1884046.523,1909,49
116,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,362930,2378,ACTIVE,2001-12-01 0:00:00,08:00:00.000,4727,01615112012000,4727,3,362930,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,JACKSON,BLVD,2, ,4727,1144788.299,1898188.677,1909,57
117,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,360819,2360,ACTIVE,2001-12-01 0:00:00,08:00:00.000,4722,01615104035000,4722,2,360819,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ADAMS,ST,2, ,4722,1144814.429,1898814.115,1905,57
118,1998-04-01 0:00:00, ,1998-04-01 0:00:00,347403,0,ACTIVE,,,0, ,0,0,347403, ,,, , , , ,0, ,0,1137409.114,1903896.585,0,268
121,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,397074,2300,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3220,01626231022000,3220,0,397074,W,,, , ,26TH,ST,1, ,3220,1155240.134,1886657.156,1984,157
122,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,408327,1540,ACTIVE,2001-12-01 0:00:00,08:00:00.000,3015,01627424007000,3015,1,408327,S,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,KOSTNER,AVE,1, ,3015,1147607.681,1884160.742,1905,49
123,1998-04-01 0:00:00, ,1998-04-01 0:00:00,331026,0,ACTIVE,,,0, ,0,0,331026, ,,, , , , ,0, ,0,1154576.896,1906625.118,0,281
124,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,315609,1008,ACTIVE,2001-10-01 0:00:00,07:00:00.000,3414,01602213044000,3414,1,315609,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HIRSCH,ST,2, ,3414,1153248.025,1909177.773,1904,306
126,1998-04-01 0:00:00, ,1998-04-01 0:00:00,369708,0,ACTIVE,,,0, ,0,0,369708, ,,, , , , ,0, ,0,1161668.755,1895862.557,0,260/275
127,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,362046,1240,ACTIVE,2001-12-01 0:00:00,08:00:00.000,4921,01616211060000,4921,1,362046,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,QUINCY,ST,2, ,4921,1143621.334,1898472.066,1992,57
128,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,366469,2006,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3324,01614402023000,3324,2,366469,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,FLOURNOY,ST,2, ,3324,1154202.969,1896906.594,1911,244
129,1998-04-01 0:00:00, ,1998-04-01 0:00:00,300960,0,ACTIVE,,,0, ,0,0,300960, ,,, , , , ,0, ,0,1139270.081,1911166.118,0,16
130,1998-04-01 0:00:00,UNINHABITABLE,1998-04-01 0:00:00,340586,1768,ACTIVE,2003-03-01 0:00:00,08:00:00.000,740,01708103024000,740,1,340586,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ADA,ST,2, ,740,1167135.26,1905243.242,1889,292
131,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,369012,2295,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3313,01614414035000,3313,1,369012,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,POLK,ST,3, ,3313,1154307.366,1896056.353,1997,244
132,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,369124,1746,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3435,01614413018000,3435,1,369124,W,2005-01-20 0:00:00,08:00:00.000,ASSESS2002,DS01228,POLK,ST,3, ,3435,1153463.476,1896033.14,1995,244
133,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,399571,840,ACTIVE,2002-11-01 0:00:00,08:00:00.000,2657,01626407022000,2657,1,399571,S,,, , ,SAWYER,AVE,1, ,2657,1155195.364,1885959.242,1884,157
134,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,347045,1728,ACTIVE,2001-12-01 0:00:00,08:00:00.000,5823,01608209007000,5823,2,347045,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,HURON,ST,2, ,5823,1137356.779,1903958.06,1905,268
137,1998-04-01 0:00:00, ,1998-04-01 0:00:00,369294,0,ACTIVE,,,0, ,0,0,369294, ,,, , , , ,0, ,0,1161377.859,1895989.31,0,260/275
138,1998-04-01 0:00:00,NEEDS MINOR REPAIR,1998-04-01 0:00:00,299808,1998,ACTIVE,2001-10-01 0:00:00,07:00:00.000,1839,01431426026001,1839,4,299808,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,WABANSIA,AVE,2, ,1839,1163661.793,1911290.915,1878,324
139,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,397585,2900,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3259,01626406001000,3259,1,397585,W,,, , ,26TH,ST,2, ,3259,1154827.133,1886455.038,1939,157
140,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,347829,1444,ACTIVE,2001-12-01 0:00:00,08:00:00.000,5748,01608210014000,5748,1,347829,W,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,ERIE,ST,2, ,5748,1137698.444,1903800.368,1904,268
142,1998-04-01 0:00:00, ,1998-04-01 0:00:00,303806,0,ACTIVE,,,1617, ,1617,0,303806,N,2003-06-16 0:00:00,07:00:00.000,PARCELS,DS06284,WINCHESTER,AVE,0, ,1617,1163165.006,1910880.304,0,324
144,1998-04-01 0:00:00,SOUND,1998-04-01 0:00:00,369103,1674,ACTIVE,2002-11-01 0:00:00,08:00:00.000,3423,01614413022000,3423,2,369103,W,2005-01-20 0:00:00,08:00:00.000,ASSESS2002,DS01228,POLK,ST,3, ,3423,1153590.209,1896036.359,0,244
